Topic,No of Ques,Correct Retrieval,OverallAccuracy
New_York_City,817,511,62.55
Buddhism,610,428,70.16
Queen_Victoria,680,370,54.41
Modern_history,448,323,72.1
Windows_8,202,147,72.77
USB,235,207,88.09
Marvel_Comics,123,75,60.98
Mammal,88,58,65.91
Alloy,96,65,67.71
Rajasthan,119,82,68.91
Northwestern_University,227,164,72.25
Anthropology,222,179,80.63
